เส้นทางต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phaya Thai,40
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ratchathewi,43
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Siam,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Chit Lom,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phloen Chit,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Nana,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Asok,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phrom Phong,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Thong Lo,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ekkamai,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phra Khanong,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,On Nut,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bang Chak,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Punnawithi,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Udom Suk,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bang Na,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bearing,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Samrong,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Pu Chao,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Chang Erawan,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Royal Thai Naval Academy,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Pak Nam,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Srinagarindra,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phraek Sa,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sai Luat,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Kheha,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,National Stadium,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Ratchadamri,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Sala Daeng,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Chong Nonsi,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Saint Louis,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Surasak,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Saphan Taksin,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Krung Thon Buri,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Wongwian Yai,47
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Pho Nimit,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Talat Phlu,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Wutthakat,62
สายสุขุมวิท,Yaek Kor Por Aor,สายสีลม,Bang Wa,62 
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phaya Thai,40
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Ratchathewi,43
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Siam,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Chit Lom,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phloen Chit,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Nana,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Asok,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phrom Phong,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Thong Lo,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Ekkamai,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phra Khanong,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,On Nut,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Bang Chak,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Punnawithi,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Udom Suk,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Bang Na,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Bearing,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Samrong,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Pu Chao,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Chang Erawan,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Royal Thai Naval Academy,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Pak Nam,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Srinagarindra,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Phraek Sa,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Sai Luat,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสุขุมวิท,Kheha,62
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,National Stadium,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Ratchadamri,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Sala Daeng,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Chong Nonsi,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Saint Louis,47
สายสุขุมวิท,Royal Thai Air Force Museum,สายสีลม,Surasak,47
